time_s,x_m,y_m,theta_rad,v_m_s,w_rad_s
3.070000000000000284e+01,6.831330022642418065e+00,3.303486238006061004e+00,2.445977523833210210e+00,-2.964731771498918533e-03,3.460351377725601413e-04
3.075000000000000000e+01,6.831443872795396111e+00,3.303391193598601561e+00,2.445996237731235645e+00,-2.966162282973527908e-03,3.742779605090618350e-04
3.080000000000000071e+01,6.831557426986111459e+00,3.303296399872396094e+00,2.446018489001946961e+00,-2.958405297249555588e-03,4.450254142284393527e-04
3.085000000000000142e+01,6.831671163421058068e+00,3.303201458305142779e+00,2.446047955624456094e+00,-2.963098231703042984e-03,5.893324501812458255e-04
3.090000000000000213e+01,6.831784787997456476e+00,3.303106615792890111e+00,2.446072645148890778e+00,-2.960111247375607491e-03,4.937904886901378632e-04
3.095000000000000284e+01,6.831898770196709769e+00,3.303011479547362406e+00,2.446091629321383909e+00,-2.969366731122136116e-03,3.796834498643875122e-04
3.100000000000000000e+01,6.832012502546427335e+00,3.302916555504162854e+00,2.446108074447768566e+00,-2.962810918688774109e-03,3.289025276899337985e-04
3.105000000000000071e+01,6.832125876017268951e+00,3.302821934153985950e+00,2.446127727035130039e+00,-2.953421324491500854e-03,3.930517472326755849e-04
3.110000000000000142e+01,6.832238925544957375e+00,3.302727586935541026e+00,2.446153993656555947e+00,-2.944934181869029999e-03,5.253324285149574497e-04
3.115000000000000213e+01,6.832359661164025155e+00,3.302626830551586234e+00,2.445639902198384341e+00,-3.145087510347366333e-03,-1.028182916343212128e-02
3.120000000000000284e+01,6.832474180342923198e+00,3.302531161999116449e+00,2.445651275183702733e+00,-2.984433900564908981e-03,2.274597063660621643e-04
3.125000000000000000e+01,6.832587882835513327e+00,3.302436177896472813e+00,2.445670812561805185e+00,-2.963122446089982986e-03,3.907475620508193970e-04
3.130000000000000071e+01,6.832701598870077220e+00,3.302341186253290317e+00,2.445690867857704731e+00,-2.963426988571882248e-03,4.011059179902076830e-04
3.135000000000000142e+01,6.832815184077355219e+00,3.302246307762962463e+00,2.445711038698139550e+00,-2.959968056529760361e-03,4.034168086946010590e-04
3.140000000000000213e+01,6.832928655636385074e+00,3.302151528089527499e+00,2.445731332836369898e+00,-2.956956624984741211e-03,4.058827646076679121e-04
3.145000000000000284e+01,6.833042142306771538e+00,3.302056739703876254e+00,2.445753897380712250e+00,-2.957300283014774323e-03,4.512908868491649845e-04
3.150000000000000000e+01,6.833155253931120221e+00,3.301962268903729125e+00,2.445777388292993404e+00,-2.947471570223569870e-03,4.698182456195354462e-04
3.155000000000000071e+01,6.833268760174688872e+00,3.301867473043931245e+00,2.445800490243057901e+00,-2.957696560770273209e-03,4.620390012860298482e-04
3.160000000000000142e+01,6.833381812562564939e+00,3.301773060659501713e+00,2.445821668420615769e+00,-2.945813350379467010e-03,4.235635511577129581e-04
3.165000000000000213e+01,6.833495172939607620e+00,3.301678395142009226e+00,2.445841067748772968e+00,-2.953786402940750122e-03,3.879865631461143710e-04
3.170000000000000284e+01,6.833615153230466532e+00,3.301578205386332510e+00,2.445324285699683298e+00,-3.126228228211402893e-03,-1.033564098179340363e-02
3.175000000000000000e+01,6.833729673595639653e+00,3.301482474457547500e+00,2.445340562014537866e+00,-2.985252067446708679e-03,3.255262970924377550e-04
3.180000000000000071e+01,6.833843420517796474e+00,3.301387393217483979e+00,2.445359641321632083e+00,-2.965050050988793373e-03,3.815861418843269348e-04
3.185000000000000142e+01,6.833956383414776070e+00,3.301292971006500210e+00,2.445384797927620646e+00,-2.944565843790769577e-03,5.031321197748184204e-04
3.190000000000000213e+01,6.834068956808725837e+00,3.301198879179611190e+00,2.445405715930903945e+00,-2.934351097792387009e-03,4.183600656688213457e-04
3.195000000000000284e+01,6.834182859571174440e+00,3.301103680278349550e+00,2.445420973760703998e+00,-2.968950662761926651e-03,3.051565960049629428e-04
3.200000000000000000e+01,6.834296736702553332e+00,3.301008505750522293e+00,2.445439967865752351e+00,-2.968244720250368118e-03,3.798821009695529829e-04
3.205000000000000426e+01,6.834410405258183552e+00,3.300913509210083419e+00,2.445460536008397412e+00,-2.962761092931032181e-03,4.113628529012203217e-04
3.210000000000000142e+01,6.834523436843726429e+00,3.300819048955012658e+00,2.445486659550736075e+00,-2.946107881143689156e-03,5.224708467721939521e-04
3.214999999999999858e+01,6.834636879736734727e+00,3.300724250004292593e+00,2.445500446105072445e+00,-2.956763841211795807e-03,2.757310867309570312e-04
3.220000000000000284e+01,6.834750222152098154e+00,3.300629537671829983e+00,2.445522803951682533e+00,-2.954110968858003616e-03,4.471569322049618093e-04
3.225000000000000000e+01,6.834870459329288828e+00,3.300529068434237878e+00,2.445003028557332314e+00,-3.133754711598157883e-03,-1.039550788700580562e-02
3.230000000000000426e+01,6.834985245838847590e+00,3.300433052366626541e+00,2.445002491403067690e+00,-2.992993686348199844e-03,-1.074308529496193034e-05
3.235000000000000142e+01,6.835098713996621278e+00,3.300338138963982093e+00,2.445026703200930740e+00,-2.958619734272360802e-03,4.842359572649002292e-04
3.239999999999999858e+01,6.835211392063216707e+00,3.300243891090630655e+00,2.445043658952856358e+00,-2.937959041446447372e-03,3.391150385141372681e-04
3.245000000000000284e+01,6.835324899374022323e+00,3.300148952879489617e+00,2.445066362259605608e+00,-2.959538716822862625e-03,4.540661349892616164e-04
3.250000000000000000e+01,6.835438212953202530e+00,3.300054181078900584e+00,2.445089304492504834e+00,-2.954431343823671341e-03,4.588446579873561968e-04
3.255000000000000426e+01,6.835551265482877170e+00,3.299959632019544564e+00,2.445106989847192214e+00,-2.947568427771329880e-03,3.537070937454700795e-04
3.260000000000000142e+01,6.835664337473699170e+00,3.299865070082637519e+00,2.445129655896382204e+00,-2.948032226413488388e-03,4.533209837973117937e-04
3.264999999999999858e+01,6.835777140525375550e+00,3.299770737404065901e+00,2.445145650495471390e+00,-2.940964652225375175e-03,3.198919817805290439e-04
3.270000000000000284e+01,6.835890830440241039e+00,3.299675666167358745e+00,2.445167633084276648e+00,-2.964047016575932503e-03,4.396517761051654816e-04
3.275000000000000000e+01,6.836004276734939822e+00,3.299580802891501463e+00,2.445191232123108627e+00,-2.957641147077083588e-03,4.719807766377925873e-04
3.280000000000000426e+01,6.836124256445892833e+00,3.299480481213769689e+00,2.444674424215847797e+00,-3.127911128103733063e-03,-1.033615814521908829e-02
3.285000000000000142e+01,6.836238286328764957e+00,3.299385034339471279e+00,2.444681925097177189e+00,-2.974082715809345245e-03,1.500176265835762132e-04
3.289999999999999858e+01,6.836351629017179299e+00,3.299290164116022606e+00,2.444706972528877031e+00,-2.956141019240021706e-03,5.009486339986324310e-04
3.295000000000000284e+01,6.836464287835323006e+00,3.299195871105118805e+00,2.444723174077155559e+00,-2.938243094831705093e-03,3.240309655666351644e-04
3.300000000000000000e+01,6.836577136620053174e+00,3.299101422205347856e+00,2.444734612273680607e+00,-2.943157684057950974e-03,2.287639304995536750e-04
3.305000000000000426e+01,6.836690673095636939e+00,3.299006399950370483e+00,2.444751692706415902e+00,-2.961064688861370087e-03,3.416086547076702118e-04
3.310000000000000142e+01,6.836803973095607390e+00,3.298911578899982544e+00,2.444770193620281695e+00,-2.954855095595121384e-03,3.700182773172855702e-04
3.314999999999999858e+01,6.836917131488498889e+00,3.298816879920710932e+00,2.444792540612327425e+00,-2.951116301119327545e-03,4.469398409128189087e-04
3.320000000000000284e+01,6.837019773749853258e+00,3.298730985487231759e+00,2.444407016736152016e+00,-2.676810603588819504e-03,-7.710477523505687887e-03
3.325000000000000000e+01,6.837123630123180362e+00,3.298644006944709606e+00,2.444005818742955416e+00,-2.709347754716873169e-03,-8.023959863930941322e-03
3.330000000000000426e+01,6.837226713100172937e+00,3.298557605725510822e+00,2.443599113462189720e+00,-2.690075896680355072e-03,-8.134105615317821850e-03
3.335000000000000142e+01,6.837329430713055878e+00,3.298471439595248356e+00,2.443185449944505816e+00,-2.681455574929714203e-03,-8.273270353674888958e-03
3.339999999999999858e+01,6.837432740279224319e+00,3.298384704063269002e+00,2.442775641431728761e+00,-2.697844989597797394e-03,-8.196170255541802147e-03
3.345000000000000284e+01,6.837535682147327876e+00,3.298298205291816831e+00,2.442365569224278055e+00,-2.689168322831392288e-03,-8.201444149017333637e-03
3.350000000000000000e+01,6.837638628282335596e+00,3.298211630888673529e+00,2.441944534912402265e+00,-2.690206980332732201e-03,-8.420686237514019012e-03
3.355000000000000426e+01,6.837741928394882152e+00,3.298124684523203953e+00,2.441538096972438066e+00,-2.700413577258586884e-03,-8.128758799284697273e-03
3.360000000000000142e+01,6.837844895818450119e+00,3.298037946655398844e+00,2.441121217234688334e+00,-2.692637965083122253e-03,-8.337594754993916599e-03
3.364999999999999858e+01,6.837947401296556649e+00,3.297951524840602833e+00,2.440708917368831443e+00,-2.681499812752008438e-03,-8.245997317135335056e-03
3.370000000000000284e+01,6.838050085648242238e+00,3.297864879763206858e+00,2.440284067446993888e+00,-2.687113359570503235e-03,-8.496998436748981129e-03
3.375000000000000000e+01,6.838152614514246608e+00,3.297778291284305663e+00,2.439858474469440264e+00,-2.684006933122873306e-03,-8.511859551072120320e-03
3.380000000000000426e+01,6.838255991183419091e+00,3.297690911409139947e+00,2.439437729249405162e+00,-2.707174047827720642e-03,-8.414904400706291893e-03
3.385000000000000142e+01,6.838358682192816396e+00,3.297604036990249732e+00,2.439014939683186167e+00,-2.690175315365195274e-03,-8.455791324377060630e-03
3.389999999999999858e+01,6.838460970427901131e+00,3.297517429086356699e+00,2.438593597504007171e+00,-2.680582925677299500e-03,-8.426843583583832134e-03
