time_s,x_m,y_m,theta_rad
4.200000000000000178e+00,1.890282963912618630e+00,9.736133117028488160e-01,1.455050966964554493e-01
4.250000000000000000e+00,1.902650533419654622e+00,9.754256644050209868e-01,1.451054485460689381e-01
4.299999999999999822e+00,1.915018843839918938e+00,9.772330768578815219e-01,1.447054937356815618e-01
4.350000000000000533e+00,1.927387638843203410e+00,9.790355078191399496e-01,1.442648249571352737e-01
4.400000000000000355e+00,1.939757251959538964e+00,9.808324917012950506e-01,1.438239078167540541e-01
4.450000000000000178e+00,1.952127680661986053e+00,9.826240249779905067e-01,1.433827300250346548e-01
4.500000000000000000e+00,1.964498922441208162e+00,9.844101039720410951e-01,1.429412783510419227e-01
4.549999999999999822e+00,1.976870974806878678e+00,9.861907248437495888e-01,1.424995385239171131e-01
4.600000000000000533e+00,1.989243835289234763e+00,9.879658835780017467e-01,1.420574951211630299e-01
4.650000000000000355e+00,2.001617501440801750e+00,9.897355759699749678e-01,1.416151314415174667e-01
4.700000000000000178e+00,2.013991970838307832e+00,9.914997976092694287e-01,1.411724293597918511e-01
4.750000000000000000e+00,2.026367061363929079e+00,9.932585183206997792e-01,1.407342186765812575e-01
4.800000000000000711e+00,2.038742946201693051e+00,9.950118194814402406e-01,1.402957617537131940e-01
4.850000000000000533e+00,2.051119622841552026e+00,9.967596976053599844e-01,1.398570464252232026e-01
4.900000000000000355e+00,2.063497088790375855e+00,9.985021490569453428e-01,1.394180595946724888e-01
4.950000000000000178e+00,2.075875341573302446e+00,1.000239170039748382e+00,1.389787871379614403e-01
5.000000000000000000e+00,2.088254378735231231e+00,1.001970756583628219e+00,1.385392137931173440e-01
5.050000000000000711e+00,2.100634197842476958e+00,1.003696904530625433e+00,1.380993230349036871e-01
5.100000000000000533e+00,2.113014796484607771e+00,1.005417609519278610e+00,1.376590969316724977e-01
5.150000000000000355e+00,2.125396066594554600e+00,1.007132852326487527e+00,1.372529394360904043e-01
5.200000000000000178e+00,2.137778053697656500e+00,1.008843069196373898e+00,1.368465544916817322e-01
5.250000000000000000e+00,2.150160755654208167e+00,1.010548256945921652e+00,1.364399308707003322e-01
5.300000000000000711e+00,2.162544170339948835e+00,1.012248412254011853e+00,1.360330564882364091e-01
5.350000000000000533e+00,2.174928295647287513e+00,1.013943531650779217e+00,1.356259183128332435e-01
5.400000000000000355e+00,2.187313129486657459e+00,1.015633611505858402e+00,1.352185022651438695e-01
5.450000000000000178e+00,2.199698669788016758e+00,1.017318648015371974e+00,1.348107931026548967e-01
5.500000000000000000e+00,2.212084914502515876e+00,1.018998637187487288e+00,1.344027742881143961e-01
5.550000000000000711e+00,2.224471812794207803e+00,1.020673568226331929e+00,1.340460177003789111e-01
5.600000000000000533e+00,2.236859324348730915e+00,1.022344082277354183e+00,1.336890620473532021e-01
5.650000000000000355e+00,2.249247447546498080e+00,1.024010176599517319e+00,1.333318975081759783e-01
5.700000000000000178e+00,2.261636180781462002e+00,1.025671848330716118e+00,1.329745135136507772e-01
5.750000000000000000e+00,2.274025522462179705e+00,1.027329094478483862e+00,1.326168986683380346e-01
5.800000000000000711e+00,2.286415471012989364e+00,1.028981911909732094e+00,1.322590406622398684e-01
5.850000000000000533e+00,2.298806024875315046e+00,1.030630297339393042e+00,1.319009261703638358e-01
5.900000000000000355e+00,2.311197182509113546e+00,1.032274247317816362e+00,1.315425407381138334e-01
5.950000000000000178e+00,2.323588929952626891e+00,1.033913756570601139e+00,1.312432359409849425e-01
6.000000000000000000e+00,2.335981179195248281e+00,1.035549558377209189e+00,1.309437647364623258e-01
6.050000000000000711e+00,2.348373929134429883e+00,1.037181650486996842e+00,1.306441189195579056e-01
6.100000000000000533e+00,2.360767178679052503e+00,1.038810030547953955e+00,1.303442896612602431e-01
6.150000000000000355e+00,2.373160926750315980e+00,1.040434696098955225e+00,1.300442674436738388e-01
6.200000000000000178e+00,2.385555172282724179e+00,1.042055644561205696e+00,1.297440419865082406e-01
6.250000000000000000e+00,2.397949914225173895e+00,1.043672873228773001e+00,1.294436021634954026e-01
6.300000000000000711e+00,2.410345151542166331e+00,1.045286379258083098e+00,1.291429359070331295e-01
6.350000000000000533e+00,2.422740889825325095e+00,1.046896160514664942e+00,1.289024327361882050e-01
6.400000000000000355e+00,2.435137022437358301e+00,1.048502961486388552e+00,1.286617963169308099e-01
6.450000000000000178e+00,2.447533548704308615e+00,1.050106780402735529e+00,1.284210200839284166e-01
6.500000000000000000e+00,2.459930467961496170e+00,1.051707615411936247e+00,1.281800969734477325e-01
6.550000000000000711e+00,2.472327779554236216e+00,1.053305464574781469e+00,1.279390193716347934e-01
6.600000000000000533e+00,2.484725482838629596e+00,1.054900325857791143e+00,1.276977790559089276e-01
6.650000000000000355e+00,2.497123577182441601e+00,1.056492197125656674e+00,1.274563671283406585e-01
6.700000000000000178e+00,2.509522061966074524e+00,1.058081076132855403e+00,1.272147739396612964e-01
6.750000000000000000e+00,2.521920950258098149e+00,1.059666962263358769e+00,1.270299006526353913e-01
6.800000000000000711e+00,2.534320135983207489e+00,1.061250556712776127e+00,1.268449252807566374e-01
6.850000000000000533e+00,2.546719618778114480e+00,1.062831858146636943e+00,1.266598427987742914e-01
6.900000000000000355e+00,2.559119398286746172e+00,1.064410865168202047e+00,1.264746478006266162e-01
6.950000000000000178e+00,2.571519474160797625e+00,1.065987576313736529e+00,1.262893344599870793e-01
