time_s,x_m,y_m,theta_rad
1.640000000000000213e+01,1.073740605069055665e+00,4.707565816531666947e+00,4.564125497105211982e-01
1.644999999999999929e+01,1.084807206963997572e+00,4.712999392097513507e+00,4.333870752660128889e-01
1.650000000000000000e+01,1.096029245844514888e+00,4.718192131438837755e+00,4.172739662207380906e-01
1.655000000000000071e+01,1.107353197680462920e+00,4.723212116688686457e+00,4.019104744841968113e-01
1.660000000000000142e+01,1.118770300791255501e+00,4.728064922361222777e+00,3.879520626829500163e-01
1.665000000000000213e+01,1.130228495507429542e+00,4.732747462084442525e+00,3.684566394658579380e-01
1.669999999999999929e+01,1.141800217099502524e+00,4.737215172823852072e+00,3.548862129808076360e-01
1.675000000000000000e+01,1.153445828153544017e+00,4.741530753447987578e+00,3.419328905758455828e-01
1.680000000000000071e+01,1.165158986106207273e+00,4.745699620057174606e+00,3.301642357240274217e-01
1.685000000000000142e+01,1.176901243562564314e+00,4.749723790114051880e+00,3.136253298200992190e-01
1.690000000000000213e+01,1.188726324220284569e+00,4.753559012539749773e+00,3.021515330895830909e-01
1.694999999999999929e+01,1.200605054997985865e+00,4.757261556311769723e+00,2.911917374143004889e-01
1.700000000000000000e+01,1.212532832929525961e+00,4.760836443884596925e+00,2.812341793345618512e-01
1.705000000000000071e+01,1.224481371937690355e+00,4.764288269641614448e+00,2.671775211312648057e-01
1.710000000000000142e+01,1.236490320039415725e+00,4.767575380925764605e+00,2.574495300965018996e-01
1.715000000000000213e+01,1.248538265144103931e+00,4.770747513636067083e+00,2.481525514729152337e-01
1.719999999999999929e+01,1.260621863213854610e+00,4.773809194639949460e+00,2.397056868559287734e-01
1.725000000000000000e+01,1.272720358209419533e+00,4.776766124728874630e+00,2.277430320807168895e-01
1.730000000000000071e+01,1.284862907618454120e+00,4.779580329503560598e+00,2.194786970640240087e-01
1.735000000000000142e+01,1.297033826307706583e+00,4.782295322067873222e+00,2.115776004423548240e-01
1.740000000000000213e+01,1.309230682550652114e+00,4.784915112517784230e+00,2.043989363514312207e-01
1.744999999999999929e+01,1.321438273953078113e+00,4.787445671103678357e+00,1.942089007868265105e-01
1.750000000000000000e+01,1.333677989119611773e+00,4.789853075884848543e+00,1.871779344513046506e-01
1.755000000000000071e+01,1.345938354308562568e+00,4.792175127408588864e+00,1.804542202109704896e-01
1.760000000000000142e+01,1.358217599897322048e+00,4.794415338590210851e+00,1.743452552038686210e-01
1.765000000000000213e+01,1.370504606113500223e+00,4.796579491781218785e+00,1.656595381621188134e-01
1.769999999999999929e+01,1.382815033913720182e+00,4.798637693905278390e+00,1.596717816303053761e-01
1.775000000000000000e+01,1.395140498905196758e+00,4.800622620217750658e+00,1.539446182666833474e-01
1.780000000000000071e+01,1.407479712599053023e+00,4.802537325207242525e+00,1.487410672597479500e-01
1.785000000000000142e+01,1.419824549528248880e+00,4.804387171532103373e+00,1.413342632967708734e-01
1.790000000000000213e+01,1.432186461387059406e+00,4.806146060350741323e+00,1.362312786252723729e-01
1.794999999999999929e+01,1.444559326052238024e+00,4.807842137002921845e+00,1.313497413740482567e-01
1.800000000000000000e+01,1.456942205012070168e+00,4.809478043756360677e+00,1.269144873240209692e-01
1.805000000000000071e+01,1.469329165232797330e+00,4.811058623874929552e+00,1.205963451520662560e-01
1.810000000000000142e+01,1.481728572157352763e+00,4.812561238519168505e+00,1.162452267256476462e-01
1.815000000000000213e+01,1.494135958141776133e+00,4.814010069798809965e+00,1.120825501528409235e-01
1.819999999999999929e+01,1.506550639433341443e+00,4.815407395142604408e+00,1.083004237663279662e-01
1.825000000000000000e+01,1.518968286320891536e+00,4.816757514202043566e+00,1.029098194226413659e-01
1.830000000000000071e+01,1.531395005216154015e+00,4.818040879264456677e+00,9.919851730963008540e-02
1.835000000000000142e+01,1.543827537293814389e+00,4.819278229328882723e+00,9.564772725208477155e-02
1.840000000000000213e+01,1.556265384340491886e+00,4.820471522294146105e+00,9.242153916321478591e-02
1.844999999999999929e+01,1.568705388069488560e+00,4.821624531358506438e+00,8.782168411730341406e-02
1.850000000000000000e+01,1.581152003419140861e+00,4.822720432964312742e+00,8.465538284556856086e-02
1.855000000000000071e+01,1.593602854128885360e+00,4.823776989654346536e+00,8.162589672971806709e-02
1.860000000000000142e+01,1.606057577155896698e+00,4.824795881482140558e+00,7.887334917387449351e-02
1.865000000000000213e+01,1.618513869483812373e+00,4.825780393374738075e+00,7.494791338187338503e-02
1.869999999999999929e+01,1.630974979853198947e+00,4.826716080228633743e+00,7.224616704463207584e-02
1.875000000000000000e+01,1.643439176013403280e+00,4.827618140610207220e+00,6.966109238367604317e-02
1.880000000000000071e+01,1.655906193415811023e+00,4.828488014185799315e+00,6.731232504601909750e-02
1.885000000000000142e+01,1.668374353151279355e+00,4.829328544857494521e+00,6.396225623813144023e-02
1.890000000000000213e+01,1.680846023591980209e+00,4.830127350685375909e+00,6.165668049316574972e-02
1.894999999999999929e+01,1.693319942223871166e+00,4.830897427175490755e+00,5.945063059800385213e-02
1.900000000000000000e+01,1.705795916274667201e+00,4.831640006758526340e+00,5.744623629055539693e-02
1.905000000000000071e+01,1.718272722068830971e+00,4.832357541771306941e+00,5.458712205071186707e-02
1.910000000000000142e+01,1.730752085758635817e+00,4.833039431742838232e+00,5.261950718605890032e-02
1.915000000000000213e+01,1.743233087340214649e+00,4.833696782701125017e+00,5.073681020352293486e-02
1.920000000000000284e+01,1.755715586349009705e+00,4.834330648882057879e+00,4.902620784397838244e-02
1.925000000000000000e+01,1.768198691056099170e+00,4.834943138967354059e+00,4.658606981099701339e-02
1.930000000000000071e+01,1.780683659305920319e+00,4.835525185695375150e+00,4.490682009978107930e-02
1.935000000000000142e+01,1.793169820772966494e+00,4.836086276722424415e+00,4.330003442920515866e-02
1.940000000000000213e+01,1.805657073112084898e+00,4.836627313349497470e+00,4.184012033922750173e-02
1.945000000000000284e+01,1.818144766580754412e+00,4.837150105048222848e+00,3.975755844332735239e-02
1.950000000000000000e+01,1.830633817635401561e+00,4.837646901008756828e+00,3.832438987677653369e-02
1.955000000000000071e+01,1.843123737920757899e+00,4.838125804070635638e+00,3.695306327788855372e-02
1.960000000000000142e+01,1.855614452870279374e+00,4.838587584461175872e+00,3.570708385601698009e-02
1.965000000000000213e+01,1.868105489111717255e+00,4.839033792593656180e+00,3.392970805447002858e-02
1.970000000000000284e+01,1.880597514293254058e+00,4.839457806085220248e+00,3.270655443828597575e-02
1.975000000000000000e+01,1.893090172661600068e+00,4.839866543651358377e+00,3.153618037662198059e-02
1.980000000000000071e+01,1.905583409892156688e+00,4.840260663297504706e+00,3.047278394710871072e-02
1.985000000000000142e+01,1.918076881138148115e+00,4.840641492032821347e+00,2.895588464496252901e-02
1.990000000000000213e+01,1.930571072745250083e+00,4.841003373548421251e+00,2.791197422126549810e-02
1.995000000000000284e+01,1.943065725575009672e+00,4.841352214572306245e+00,2.691311010110161023e-02
2.000000000000000000e+01,1.955560800052015047e+00,4.841688577102213564e+00,2.600554582694741129e-02
2.005000000000000071e+01,1.968056044976989716e+00,4.842013596038879264e+00,2.471096407165102038e-02
2.010000000000000142e+01,1.980551814601738458e+00,4.842322441419280921e+00,2.382003732028087697e-02
2.015000000000000213e+01,1.993047920174852994e+00,4.842620155429585793e+00,2.296755704408656382e-02
2.020000000000000284e+01,2.005544332867166712e+00,4.842907217978713597e+00,2.219299586822975900e-02
2.025000000000000000e+01,2.018040869706531293e+00,4.843184599110075261e+00,2.108816175789139657e-02
2.030000000000000071e+01,2.030537788713874470e+00,4.843448175232431652e+00,2.032780711390457656e-02
2.035000000000000142e+01,2.043034952412738026e+00,4.843702250162796652e+00,1.960026602223588141e-02
2.040000000000000213e+01,2.055532339803179287e+00,4.843947233652840190e+00,1.893922370142510705e-02
2.045000000000000284e+01,2.068029817615799182e+00,4.844183954484976518e+00,1.799633705241768244e-02
2.050000000000000000e+01,2.080527573772960270e+00,4.844408892601133942e+00,1.734742575763745590e-02
2.055000000000000071e+01,2.093025508147988933e+00,4.844625721340586111e+00,1.672652016568370800e-02
2.060000000000000142e+01,2.105523605444620916e+00,4.844834790514960687e+00,1.616236624246010847e-02
2.065000000000000213e+01,2.118021768598823407e+00,4.845036807995999339e+00,1.535769794346952127e-02
2.070000000000000284e+01,2.130520134473710581e+00,4.845228769216049614e+00,1.480390264218919838e-02
2.075000000000000000e+01,2.143018630147478287e+00,4.845413809246890580e+00,1.427400935892369528e-02
2.080000000000000071e+01,2.155517244478830641e+00,4.845592226702355454e+00,1.379254879635663511e-02
2.085000000000000142e+01,2.168015906775552004e+00,4.845764626044205770e+00,1.310584477336224074e-02
2.090000000000000213e+01,2.180514716711609680e+00,4.845928442886419774e+00,1.263322909591638350e-02
2.095000000000000284e+01,2.193013621179792594e+00,4.846086352810831777e+00,1.218101278581399868e-02
2.100000000000000000e+01,2.205512612065428701e+00,4.846238610709221462e+00,1.177012923686069322e-02
2.105000000000000071e+01,2.218011637884479192e+00,4.846385732652401579e+00,1.118410179435344078e-02
2.110000000000000142e+01,2.230510771225267863e+00,4.846525530060887377e+00,1.078077026259027446e-02
2.115000000000000213e+01,2.243009973411938862e+00,4.846660286308850374e+00,1.039484848239808149e-02
2.120000000000000284e+01,2.255509238534417982e+00,4.846790218955838725e+00,1.004419995746814662e-02
2.125000000000000000e+01,2.268008529098569870e+00,4.846915768551683712e+00,9.544093600764552709e-03
2.130000000000000071e+01,2.280507897966363995e+00,4.847035067320427437e+00,9.199892879475309732e-03
2.135000000000000142e+01,2.293007316972247356e+00,4.847150063880715898e+00,8.870550223198528719e-03
2.140000000000000213e+01,2.305506781811915040e+00,4.847260943919614817e+00,8.571309373441504328e-03
2.145000000000000284e+01,2.318006265180162728e+00,4.847368083482337831e+00,8.144530164196394847e-03
2.150000000000000000e+01,2.330505805572754774e+00,4.847469888617140121e+00,7.850794069281298929e-03
2.155000000000000071e+01,2.343005382478549503e+00,4.847568022237543239e+00,7.569738171755350728e-03
2.160000000000000142e+01,2.355504992762798455e+00,4.847662642821933154e+00,7.314370602087677184e-03
2.165000000000000213e+01,2.368004616540747787e+00,4.847754071333112869e+00,6.950169732717132592e-03
2.170000000000000284e+01,2.380504281845862380e+00,4.847840947527437550e+00,6.699501557873552109e-03
2.175000000000000000e+01,2.393003973741409496e+00,4.847924690485656107e+00,6.459654803013129519e-03
2.180000000000000071e+01,2.405503689944454404e+00,4.848005435460551737e+00,6.241729824214694439e-03
2.185000000000000142e+01,2.418003415974321779e+00,4.848083456386520496e+00,5.930933475336446631e-03
2.190000000000000213e+01,2.430503172245373822e+00,4.848157592478694156e+00,5.717020162675755419e-03
